0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1.42063,0.17304876,-0.17785555,-0.45945165,0.20547004,0.07055272,0.20922473,0.060609765,0.124773845,-0.69972247,0.1829218,-0.15329076,0.28821898,-0.5803307,0.2430951,0.3629236,-0.49720275,0.5632779,0.4519615,-0.0019654874,0.32516062,0.59972596,-0.13828419,0.43350682,0.2307719,0.18187886,-0.6386038
2.55732,0.3123268,-0.101427495,-0.56491387,0.052841604,0.22017092,0.3102886,-0.027462533,0.21679002,-1.2530155,0.2729028,-0.06835407,0.9338591,-0.5820477,0.45724115,0.30617407,-0.4653398,0.99842066,0.57944804,-0.23881161,0.75360346,0.62382734,-0.16679107,0.7279336,0.4974324,0.6361178,-1.1212127
3.582941,0.45227578,-0.27990705,-1.2515156,0.20009325,0.3904793,0.2817295,0.042449236,-0.014665261,-1.8405809,0.59195215,0.02496674,1.400732,-1.2807626,0.38599053,0.4430098,-0.6121047,1.8231899,0.97430664,-0.4773763,1.3063506,0.83774656,-0.29824492,0.9300976,0.903393,0.80631465,-1.57813
1.5279624,0.5120333,-0.17546429,-0.44109824,0.36176813,0.022906162,0.26650175,-0.0036265627,0.115324706,-0.77563727,0.03670024,-0.40070227,0.22176476,-0.46627837,0.47365785,0.31713775,-0.3426105,0.4100191,0.25673828,-0.0379953,0.64223987,0.51557416,-0.26608536,0.56607366,0.2011228,0.17055573,-0.9024558
3.1592455,0.5280029,-0.3828433,-1.2473195,0.5787455,0.24523726,0.24029645,-0.040037945,0.038889498,-1.4300656,0.41878533,-0.15997636,1.0535607,-1.2150413,0.4780241,0.45634493,-0.6202993,1.3241875,0.65885586,-0.26462683,1.1732843,0.89894223,-0.27955902,0.8792414,0.57247734,0.4468516,-1.5494967
1.1211964,0.27810937,-0.0019408967,0.017211724,-0.045029536,0.03057177,0.18708195,0.13725631,0.19926608,-0.52578795,0.061296254,-0.16290627,0.28377563,-0.32508346,0.18356888,0.2110546,-0.53273034,0.11982239,0.25640643,0.036355555,0.31446144,0.47469878,-0.16673353,0.37850866,0.06995377,0.32562685,-0.4429426
5.536572,1.1747874,-0.28032103,-1.6016129,0.7990853,0.26971418,0.63516104,-0.036031023,0.08682139,-2.4558837,0.5692961,-0.3998541,1.6846504,-1.6446812,0.81135684,0.49984935,-0.9100798,1.9376411,0.8754604,-0.66113865,2.1944711,1.3238338,-0.6135955,1.5677471,1.1432328,0.9108808,-2.5850434
1.1394463,0.3778795,-0.14652185,-0.36421567,0.10542201,-0.03869407,0.14590666,0.36246192,0.1949793,-0.87748593,0.077490374,-0.24424559,0.4181316,-0.73098767,0.49265465,0.23203856,-0.54767096,0.21658464,0.13167076,0.110519655,0.40694377,0.70229584,-0.4190938,0.5204585,0.01643076,0.30311686,-0.79074115
3.2384043,0.4052042,-0.2560722,-1.0597042,0.10144319,0.44230625,0.27836353,0.03133911,0.11549209,-1.6812525,0.5842994,0.18706068,1.1924807,-1.0666867,0.40568858,0.3962454,-0.6986114,1.6374103,0.96013165,-0.53357047,1.0924373,0.8084691,-0.3064168,0.7993751,1.0156313,0.7799194,-1.4964728
1.7245088,0.5484699,-0.61804473,-0.93810266,0.3077307,0.013022322,0.23941758,0.921881,0.22753944,-1.4661825,0.19274521,-0.21063724,0.58493286,-1.652258,0.7665133,0.3618144,-1.0010692,0.3711252,0.056342572,0.12878178,0.6914553,1.1293795,-1.0068752,0.81589586,-0.1359312,0.20299634,-1.330626
3.0095541,0.99691504,-0.6936675,-0.99476695,0.6524758,-0.23968783,0.91655344,0.96954674,0.084788784,-1.9305828,-0.2203628,-0.8157262,0.40853775,-1.4369676,1.1092519,0.78808296,-0.9021747,0.40883464,0.31458524,0.027269807,1.076637,1.4785941,-1.0967147,1.3336339,0.18256386,0.21570186,-1.5471995
1.2897296,0.40886173,-0.10739166,-0.062732354,0.24407826,-0.024629384,0.41072235,0.35037163,0.10892949,-0.85681105,-0.07036728,-0.46513054,0.044081546,-0.33489686,0.48669565,0.44540438,-0.38507527,0.1339765,0.18422665,0.06450885,0.36722925,0.6241206,-0.34512782,0.5846144,0.17775854,0.11892706,-0.61482364
2.4523036,0.44912294,-0.2498235,-0.8578754,0.3192919,0.59220207,0.22393456,0.30460918,-0.12693171,-1.5873196,0.44051757,-0.13284793,0.69766974,-0.9995599,0.46159947,0.5183868,-0.58629996,1.2490005,0.548625,-0.10749603,0.9221542,0.8688084,-0.44666475,0.6178238,0.80394626,0.46836302,-1.2781658
0.85250896,0.29861182,-0.006409939,-0.29437032,0.030320337,-0.049276948,0.14459446,0.22313863,0.16552037,-0.657266,0.06264985,-0.11204869,0.22348745,-0.4574314,0.23947798,0.1991833,-0.27712688,0.13816549,0.15786903,-0.016149621,0.24508238,0.46815175,-0.3635355,0.3322088,0.103538275,0.21938522,-0.56134087
2.8910925,0.38120463,-0.28147915,-0.9277853,0.15127644,0.45761752,0.3398251,0.16656707,0.026917957,-1.5983553,0.35390696,-0.07115547,0.905035,-0.876328,0.51455134,0.46496117,-0.4484099,1.4065139,0.682816,-0.37775365,0.9720561,0.7896378,-0.3921277,0.65855205,0.969584,0.64230597,-1.3219864
2.0647333,0.5522843,-0.24198188,-1.014363,0.43798798,0.03219188,0.081406936,0.37666294,0.05106678,-1.2237287,0.30426037,-0.13775176,0.8225504,-1.1445606,0.3180908,0.3258572,-0.52438015,0.80410993,0.42013738,-0.22436115,0.86276686,0.7451739,-0.6694965,0.7122452,0.08430108,0.2575844,-1.4467177
2.9684002,0.6613626,-0.5760285,-0.50709534,0.22627224,0.20317265,0.7054637,0.35989988,0.12406849,-1.2914214,0.060375936,-0.4740421,0.43900555,-1.0274961,0.50577366,0.5535795,-0.91828376,0.49331656,0.28151903,0.12650186,0.9230406,1.1033281,-0.46208194,0.91701895,0.5171266,0.37736735,-0.9520108
3.2900207,0.9443524,-0.00855645,-0.46714813,0.4917842,0.055487663,0.744266,0.23229133,0.37610745,-1.948895,-0.13215773,-0.7737477,0.5192853,-0.6275744,1.1511613,0.50127983,-0.6252418,0.45682094,0.3818955,-0.16712104,1.0648835,1.3071681,-0.7332926,1.0883486,0.789733,0.7658629,-1.7322936
0.76768154,0.15035778,0.011391645,0.015546714,-0.031228593,0.020796318,0.10035629,0.115889974,0.17721713,-0.37940004,0.03964588,-0.09537392,0.18144837,-0.2645437,0.09880555,0.15269202,-0.31733057,0.113470174,0.17028819,0.01804298,0.22016472,0.34032437,-0.11315577,0.24472083,0.05035638,0.18466432,-0.30498844
0.99563086,0.32821506,-0.3544027,-0.5878018,0.23489074,-0.094777435,0.18463624,0.6293999,0.2451202,-1.0792056,0.20071673,-0.20109332,0.31965917,-1.138193,0.5584158,0.3339538,-0.6195339,0.15105733,0.06575751,0.058397762,0.29384205,0.77620876,-0.6561694,0.670136,0.0070793442,0.09856669,-0.8669227
3.1865556,0.724177,0.09943788,-0.5327688,0.0032934938,0.07576375,0.4465294,-0.22883636,0.20293416,-1.4333041,0.19897145,-0.27291468,0.76386493,-0.44348228,0.66308075,0.23778683,-0.46711355,1.0988342,0.60500443,-0.31293863,1.0865623,0.69984746,-0.34917185,0.67421854,0.6472551,0.80235696,-1.4596136
0.9785907,0.3547434,0.016436739,-0.088117145,-0.08378449,-0.033991203,0.251545,0.15980373,0.12751316,-0.59531474,0.022388386,-0.18448573,0.2792548,-0.37116754,0.2685029,0.21446422,-0.43815622,0.06039001,0.16166145,0.007901596,0.32657233,0.4279853,-0.22286284,0.39484,0.124009,0.32690826,-0.43617252
